Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
67721,-0.834,0.131,0.248,12.098,7.198,15.846,47,0
67806,-1.007,-0.092,0.607,14.59,22.29,8.057,45,0
67896,-0.846,-0.046,0.388,1.28,40.74,-32.148,138,0
67987,-1.463,-0.284,0.857,-16.806,-0.854,-41.618,137,0
68072,-1.223,-0.22,-0.25,-250.137,-0.456,-41.603,50,0
68162,-1.273,-0.483,-0.199,194.74,-19.107,57.756,130,0
68251,-1.374,0.115,0.056,89.649,55.511,78.443,125,0
68341,-0.102,0.318,0.134,-64.389,38.229,46.557,137,0
68439,-1.148,-0.128,-0.28,145.473,38.847,-108.008,0,0
68529,-1.531,0.549,-0.301,43.885,75.664,-48.87,136,0
68619,-1.53,0.281,-0.033,-149.031,37.58,-29.122,134,0
68708,-1.396,0.191,-0.019,26.591,28.16,30.038,129,0
68798,-0.695,0.394,-0.218,24.085,11.024,3.355,124,0
68891,-0.148,-0.025,-0.052,-52.26,-3.449,44.985,0,0
68985,-1.5,-0.585,-0.33,52.489,-60.588,104.977,199,0
69079,-1.72,-0.141,-0.295,138.42,-99.611,192.634,189,0
69172,-0.278,0.319,-0.066,43.084,-59.221,73.031,187,0
69268,0.421,-0.008,0.168,-10.121,-26.66,70.511,187,0
69361,0.314,0.141,0.267,-23.305,-50.756,88.756,173,0
69448,-2.0,2.0,-0.062,45.855,-53.252,138.168,0,87
69527,-1.033,1.207,0.012,-70.557,-63.252,136.282,50,93
69607,-0.208,-0.042,0.157,15.128,-74.527,21.779,46,101
69692,-0.056,-0.36,-0.08,159.511,-94.282,29.947,138,102
69771,-0.767,0.821,-0.207,106.74,-164.588,-66.863,43,95
69851,-1.49,1.932,-0.472,162.137,-225.267,-16.33,49,94
69939,0.33,0.632,-0.374,125.42,-203.45,-7.185,144,100
70019,0.916,0.008,0.078,19.296,-113.328,-6.303,51,101
70098,0.252,0.033,0.286,-16.039,-15.037,-39.916,57,94
70184,-2.0,2.0,-1.021,97.824,-36.193,-2.797,170,85
70270,-0.942,1.227,-0.155,-67.198,-101.389,-28.985,53,28
70358,-0.369,0.132,-0.062,-30.489,-93.038,-68.466,166,103
70445,-0.092,-0.375,-0.146,37.397,-139.893,-53.275,162,108
70533,-0.248,0.374,0.125,33.893,-180.359,-53.389,96,0
70627,-1.447,1.608,1.324,-55.679,-210.702,-64.901,0,0
70727,-0.075,0.624,0.591,-102.321,-96.305,14.643,175,0
70810,0.383,-0.229,0.372,-116.618,-55.45,14.874,19,0
70893,0.244,0.123,0.523,-111.87,-50.924,43.473,27,0
70980,-0.726,0.397,1.65,-91.679,-86.916,-12.329,90,0
71067,-0.33,0.038,1.386,31.154,-39.885,19.81,91,0
71153,-0.265,0.093,0.734,22.394,5.012,-8.862,92,0
71240,-0.234,0.02,0.429,-27.977,-10.01,-15.041,94,0
71327,-0.254,-0.08,0.898,2.192,-32.009,-68.336,98,0
71412,-0.352,-0.251,1.677,10.978,63.168,-81.763,51,0
71498,-0.131,-0.082,1.129,38.649,44.466,-59.725,29,0
71591,0.277,-0.122,0.524,24.006,18.534,-34.183,0,0
71674,0.111,-0.022,0.485,-28.695,-30.581,-0.411,23,0
71768,-0.657,0.442,1.277,117.344,-19.133,-38.947,0,0
71860,-0.71,0.379,1.417,152.489,24.344,-25.908,0,0
71953,-0.434,0.218,0.811,186.038,73.656,-83.053,190,0
72045,-0.258,0.156,0.169,114.763,51.435,-93.061,192,0
72138,-0.764,0.098,0.504,52.069,-9.85,-133.947,200,0
72225,-1.959,1.367,0.407,238.0,-41.878,-57.771,49,0
72310,-0.098,0.956,0.135,157.168,-70.87,-96.069,42,0
72394,0.225,0.335,0.106,169.733,-55.878,-40.725,38,0
72486,0.161,0.035,0.176,51.237,-3.058,11.403,197,0
72570,-2.0,1.764,-0.128,47.366,-59.145,-38.71,37,0
72664,-1.229,0.715,-0.181,191.725,21.366,64.534,0,0
72748,-0.719,-0.029,-0.252,14.6,163.031,-165.237,33,0
72832,0.146,-0.608,0.382,232.412,-41.786,-250.137,44,0
72916,-2.0,0.802,-1.922,250.13,-250.137,17.434,51,0
73011,-1.114,1.042,-0.44,-45.626,-51.916,126.221,0,165
73095,-1.26,0.184,0.388,-31.023,20.565,-49.603,43,194
73179,-0.626,-0.337,0.623,-48.824,-101.954,-250.137,36,0
73263,-0.769,-0.128,-0.349,172.901,-217.863,-250.137,39,0
73347,-0.353,0.153,0.071,147.092,-250.137,-79.466,38,0
73431,0.596,-0.624,0.822,-250.137,-169.527,-89.145,36,0
73512,2.0,-2.0,0.98,-89.405,-125.702,-119.924,41,161
73595,1.062,-0.608,-0.979,250.13,-250.137,13.625,16,0
73679,0.676,0.114,-0.406,-230.031,-1.712,45.074,33,0
73762,0.117,-0.668,0.125,-117.45,161.099,103.427,9,44
73843,0.312,-0.766,0.169,-37.275,137.824,105.863,30,149
73925,0.258,-1.187,0.288,-125.626,43.153,40.748,42,152
74006,0.033,-1.457,0.419,-29.795,-12.712,124.504,37,154
74089,-0.119,-1.13,0.425,-53.412,15.884,91.038,57,153
74169,-0.185,-0.752,0.135,19.725,36.87,36.939,17,152
74251,-0.361,-0.691,-0.102,-15.998,26.237,-7.882,40,151
74332,-0.434,-1.004,-0.18,-34.84,-10.952,-3.824,38,151
74415,-0.212,-1.111,-0.092,-22.321,-18.004,-34.74,37,120
74494,0.024,-1.031,-0.011,-24.237,19.082,-69.0,39,122
74575,0.21,-1.052,0.094,-53.183,29.031,-71.458,39,148
74657,0.189,-1.042,-0.063,-48.511,31.031,-47.328,41,147
74738,0.497,-0.978,-0.272,-52.038,28.0,-36.443,49,146
74820,0.537,-0.845,-0.288,-66.634,43.214,-42.336,48,144
74903,0.406,-0.688,-0.303,-101.847,19.229,-45.527,67,143
74986,0.195,-0.627,-0.391,-64.481,-36.407,-27.58,68,145
75074,0.209,-0.708,-0.521,-45.824,-70.832,-6.138,71,189
75159,0.353,-0.739,-0.745,-23.832,-54.817,7.023,62,177
75242,0.343,-0.782,-0.839,-27.916,-22.919,13.967,61,166
75327,0.319,-0.67,-0.806,-25.863,-0.256,-2.406,63,183
75412,0.239,-0.59,-0.729,-12.073,6.446,0.257,63,197
75498,0.19,-0.632,-0.735,-22.107,-1.269,7.751,62,197
75583,0.222,-0.624,-0.771,-8.118,-0.364,3.816,62,197
75669,0.276,-0.598,-0.772,-6.934,0.555,5.705,62,198
75754,0.245,-0.598,-0.789,2.964,-12.827,-7.426,62,197
75842,0.229,-0.572,-0.781,7.036,-21.629,-10.456,61,197
75927,0.243,-0.591,-0.864,3.336,-22.542,-3.986,61,182
76012,0.226,-0.604,-0.805,2.24,-2.497,-1.389,61,182
76096,0.225,-0.61,-0.771,-2.833,3.503,1.914,62,182
76181,0.222,-0.597,-0.784,0.489,-1.016,1.884,62,181
76265,0.211,-0.624,-0.756,3.213,-1.267,-0.295,18,55
76350,0.201,-0.579,-0.848,-0.947,-3.466,-4.283,61,190
76436,0.233,-0.622,-0.804,5.738,1.826,-6.31,60,192
76521,0.232,-0.639,-0.748,0.011,4.57,-4.256,62,195
76609,0.258,-0.659,-0.733,-6.541,4.176,-2.733,61,195
76695,0.254,-0.618,-0.768,-5.718,3.943,-2.617,74,195
76781,0.238,-0.563,-0.824,1.465,0.433,-12.659,73,195
76866,0.063,-0.614,-0.884,36.122,22.848,-24.55,73,173
76951,0.18,-0.687,-0.903,56.031,52.595,-30.71,68,182
77035,0.302,-0.957,-0.71,117.13,120.817,-32.473,59,175
77119,0.445,-1.025,-0.34,167.718,190.649,-43.42,62,165
77202,0.509,-0.378,-0.228,111.634,202.977,-83.313,57,145
77282,0.485,-0.476,0.191,128.069,186.519,-62.824,66,36
77358,0.964,0.018,0.817,137.664,250.13,-29.038,67,29
77435,-0.223,0.366,1.026,-38.0,189.511,-17.663,93,24
77512,-0.161,-0.392,0.869,-32.771,134.908,55.542,87,26
77596,-0.266,-0.132,0.677,-131.214,67.176,64.771,21,0
77677,-0.243,-1.351,0.838,-223.153,-16.561,30.709,16,163
77769,-0.083,-1.104,0.632,61.473,-13.255,33.855,0,169
77852,-0.084,-1.121,0.84,46.412,-16.731,-26.084,16,0
77946,-0.175,-0.784,0.835,87.878,-59.168,-74.756,0,0
78033,0.065,-0.834,1.009,35.303,-79.992,-95.053,0,31
78117,0.454,-0.479,0.35,154.267,-32.063,-38.473,0,27
78201,0.754,0.133,-0.031,-50.855,108.145,-72.122,0,24
78279,0.118,-0.153,0.394,-107.779,134.664,-47.473,95,28
78371,-0.054,-1.332,1.591,-141.137,-56.832,-14.579,0,179
78455,0.365,-0.148,0.336,59.305,4.915,25.704,0,26
78550,0.074,-0.881,0.889,-45.664,-23.582,1.721,0,0
78643,0.223,-0.672,0.65,-11.853,-9.811,10.957,0,0
78734,0.119,-0.569,0.671,-38.069,-13.698,34.519,0,158
78819,0.153,-0.638,0.619,-5.798,-24.311,61.725,17,159
78900,0.032,-0.678,0.53,-12.921,-17.406,90.023,19,160
78983,-0.178,-0.94,0.568,-8.528,1.12,77.916,16,0
79067,-0.255,-0.927,0.73,38.748,-6.378,37.855,16,0
79150,-0.16,-0.798,0.636,37.237,-5.949,-0.8,11,0
79233,-0.09,-0.541,0.584,-22.641,-1.558,7.675,11,0
79315,-0.216,-0.824,0.769,-5.908,-12.443,13.131,10,0
79398,-0.077,-0.775,0.649,-13.617,-11.698,12.509,11,0
79481,-0.175,-0.778,0.662,-5.962,-15.432,7.648,12,0
79567,0.007,-0.982,0.713,42.321,9.53,-1.369,12,0
79650,-0.136,-0.842,0.727,110.473,20.511,-37.954,17,0
79734,-0.107,-0.256,0.729,76.611,31.58,-13.493,16,0
79817,-0.31,-0.396,0.73,-28.817,-7.464,-14.781,17,0
79901,-0.233,-0.606,0.805,-70.053,-17.079,9.693,17,0
79984,-0.125,-0.787,0.756,-55.015,-22.586,5.949,16,0
80067,-0.063,-0.759,0.749,15.159,-8.971,5.176,16,191
80150,-0.08,-0.512,0.649,-12.34,-2.563,0.69,16,191
80233,-0.066,-0.737,0.729,-41.351,-9.325,2.879,14,190
80312,-0.061,-0.856,0.678,-14.948,-7.583,3.47,15,167
80394,-0.086,-0.73,0.659,6.975,0.523,0.143,13,169
80475,-0.086,-0.753,0.659,-5.608,-1.507,0.473,13,168
80557,-0.081,-0.786,0.66,-2.703,-1.403,-1.225,14,168
80638,-0.079,-0.743,0.644,0.591,-0.225,-1.511,16,168
80719,-0.09,-0.746,0.646,-4.221,-1.541,-2.786,14,168
80801,-0.077,-0.746,0.643,-2.916,-0.321,-1.697,14,169
80883,-0.072,-0.756,0.637,-9.2,-0.834,-1.847,15,168
80968,-0.071,-0.779,0.625,-11.502,-3.573,-0.364,14,167
81049,-0.077,-0.824,0.616,-4.656,-1.977,2.329,13,166
81131,-0.065,-0.793,0.612,1.635,-0.093,1.016,14,167
81212,-0.083,-0.798,0.631,0.171,-0.969,-0.942,14,167
81294,-0.067,-0.799,0.623,7.03,0.221,-0.685,16,166
81376,-0.083,-0.766,0.63,5.468,0.743,-1.056,16,166
81462,-0.07,-0.788,0.613,-2.007,-1.118,-0.563,16,167
81543,-0.064,-0.791,0.605,0.993,-1.044,0.359,16,166
81624,-0.068,-0.778,0.639,-0.529,-0.935,0.543,15,167
81715,-0.064,-0.788,0.617,-2.801,-0.811,0.133,15,167
81799,-0.068,-0.779,0.614,0.068,-0.62,0.744,16,167
81881,-0.073,-0.772,0.624,-0.722,-0.232,1.136,17,167
81964,-0.077,-0.796,0.625,-2.83,-1.087,2.75,16,167
82046,-0.061,-0.787,0.61,-3.688,-2.266,1.521,15,166
82129,-0.057,-0.805,0.619,1.342,0.202,-0.038,14,166
82212,-0.074,-0.788,0.593,-1.626,-1.02,-0.607,14,166
82295,-0.062,-0.797,0.601,0.215,-1.125,0.39,14,166
82372,-0.069,-0.784,0.617,-0.693,-0.44,-0.035,14,58
82457,-0.07,-0.794,0.591,0.035,-0.985,0.206,14,166
82540,-0.067,-0.798,0.6,-1.43,-0.719,0.351,15,166
82623,-0.074,-0.788,0.618,0.414,-0.437,0.358,13,166
82706,-0.068,-0.799,0.604,-0.727,-0.6,0.382,13,167
82789,-0.072,-0.794,0.597,0.479,-0.286,0.38,13,166
82872,-0.058,-0.804,0.595,0.271,-0.68,0.249,15,166
82955,-0.072,-0.795,0.599,0.695,-0.479,0.213,15,166
83038,-0.06,-0.798,0.604,0.525,-0.353,0.215,15,166
83121,-0.063,-0.794,0.602,0.178,-0.454,0.296,15,165
83207,-0.064,-0.797,0.605,-0.031,-0.326,0.271,16,166
83290,-0.068,-0.797,0.588,-0.355,-0.789,0.291,14,166
83373,-0.064,-0.794,0.585,-0.421,-0.818,0.069,14,166
83456,-0.064,-0.806,0.601,0.308,-0.805,0.202,15,166
83538,-0.064,-0.8,0.596,-0.028,-0.357,0.111,14,166
83615,-0.07,-0.803,0.599,0.816,-0.605,0.427,14,58
83698,-0.071,-0.799,0.598,0.843,-0.878,0.75,14,166
83781,-0.072,-0.808,0.591,0.452,-1.177,0.609,14,166
83864,-0.067,-0.787,0.599,0.08,-0.571,0.248,14,166
83950,-0.065,-0.802,0.603,0.681,-0.362,0.12,14,166
84027,-0.07,-0.805,0.603,-0.985,-0.625,-0.065,14,58
84104,-0.062,-0.807,0.592,-0.113,-0.307,0.111,15,58
84180,-0.068,-0.796,0.596,-1.036,-0.725,0.017,16,57
